
Title,Date
"Record of Ragnarok: Temporada 1: Adversário digno","05/07/2021"
"Record of Ragnarok: Temporada 1: Ragnarok","05/07/2021"
"Naruto Shippuden: Temporada 1: Missão cumprida","05/07/2021"
"Devilman Crybaby: Minissérie: Uma só mão basta","05/07/2021"
"Naruto Shippuden: Temporada 1: Kazekage se mantém no alto","05/07/2021"
"Naruto Shippuden: Temporada 1: O Jinchuriki da areia","05/07/2021"
"Naruto Shippuden: Temporada 1: Os resultados do treinamento","05/07/2021"
"Naruto Shippuden: Temporada 1: Os Akatsuki entram em ação","05/07/2021"
"Naruto Shippuden: Temporada 1: Voltando para casa","05/07/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Crueldade","05/07/2021"
"Godzilla Ponto Singular: Temporada 1: Rol Rodan","04/07/2021"
"The Ranch: Parte 1: Não brinca","03/07/2021"
"Godzilla Ponto Singular: Temporada 1: Tormento","02/07/2021"
"Naruto Shippuden: Temporada 2: Um novo alvo","01/07/2021"
"ONE PIECE: East Blue: Episódio 2","01/07/2021"
"America: The Motion Picture","01/07/2021"
"The Seven Deadly Sins: Ira Imperial dos Deuses: Britânia em guerra","29/06/2021"
"Godzilla Ponto Singular: Temporada 1: Rosnante","24/06/2021"
"Katla: Temporada 1: Do meio da geleira","19/06/2021"
"Superbad – É Hoje","18/06/2021"
"Space Force: Temporada 1: Reação proporcional","18/06/2021"
"Space Force: Temporada 1: De volta à Lua","18/06/2021"
"Space Force: Temporada 1: Visita íntima","18/06/2021"
"Space Force: Temporada 1: Edison Jaymes","18/06/2021"
"Black Summer: Temporada 2: O avião","18/06/2021"
"Black Summer: Temporada 2: A estação","18/06/2021"
"Black Summer: Temporada 2: O tesouro","18/06/2021"
"Black Summer: Temporada 2: Cavalo branco","18/06/2021"
"Black Summer: Temporada 2: Guerra fria","18/06/2021"
"Black Summer: Temporada 2: Jogo de cartas","17/06/2021"
"Black Summer: Temporada 2: Prelúdio","17/06/2021"
"Black Summer: Temporada 2: O frio","17/06/2021"
"Lupin: Parte 1: Capítulo 2","16/06/2021"
"Lupin: Parte 1: Capítulo 1","16/06/2021"
"Space Force: Temporada 1: O espião","16/06/2021"
"Space Force: Temporada 1: Jogo de guerra","15/06/2021"
"O Mito de Sísifo: Temporada 1: Episódio 1","15/06/2021"
"Lupin: Parte 2: Capítulo 10","14/06/2021"
"Lupin: Parte 2: Capítulo 9","14/06/2021"
"Lupin: Parte 2: Capítulo 8","13/06/2021"
"Lupin: Parte 2: Capítulo 7","13/06/2021"
"Lupin: Parte 2: Capítulo 6","13/06/2021"
"Awake","11/06/2021"
"Django Livre","07/06/2021"
"Sweet Tooth: Temporada 1: Grandão","05/06/2021"
"Sweet Tooth: Temporada 1: Quando eles se conheceram","05/06/2021"
"Sweet Tooth: Temporada 1: Algo estranho no trem","05/06/2021"
"Sweet Tooth: Temporada 1: O que tem no freezer?","05/06/2021"
"Sweet Tooth: Temporada 1: O molho secreto","05/06/2021"
"Sweet Tooth: Temporada 1: Esquisitice de cervo","05/06/2021"
"Sweet Tooth: Temporada 1: Foi mal por todos os mortos","04/06/2021"
"Sweet Tooth: Temporada 1: Saindo da mata","04/06/2021"
"The Office (U.S.): Temporada 7: Episódio 5","31/05/2021"
"The Office (U.S.): Temporada 7: Episódio 4","31/05/2021"
"The Office (U.S.): Temporada 7: Episódio 3","29/05/2021"
"The Office (U.S.): Temporada 7: Episódio 2","29/05/2021"
"The Office (U.S.): Temporada 7: Episódio 1","28/05/2021"
"The Office (U.S.): Temporada 6: Episódio 26","28/05/2021"
"The Office (U.S.): Temporada 6: Episódio 25","28/05/2021"
"Bem-vindo à Prisão","28/05/2021"
"O virgem de 40 anos","25/05/2021"
"Brilho Eterno de uma Mente sem Lembranças","24/05/2021"
"Master of None: Temporada 3: Momentos – Capítulo 2","23/05/2021"
"Master of None: Temporada 3: Momentos – Capítulo 1","23/05/2021"
"Missão: Impossível - Efeito Fallout","22/05/2021"
"Hacker","22/05/2021"
"Colony: Temporada 1: Admirável mundo novo","22/05/2021"
"Nos Bastidores de ARMY OF THE DEAD: Invasão em Las Vegas","22/05/2021"
"O Mistério da Casa Assombrada","22/05/2021"
"Army of the Dead: Invasão em Las Vegas","22/05/2021"
"A volta do todo poderoso","21/05/2021"
"JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: Dio, o invasor","20/05/2021"
"Ano um","19/05/2021"
"Um Milhão de Maneiras de Pegar na Pistola","17/05/2021"
"Love, Death & Robots: Volume 2: Esquadrão de extermínio","14/05/2021"
"Love, Death & Robots: Volume 2: O gigante afogado","14/05/2021"
"Love, Death & Robots: Volume 2: Gaiola de sobrevivência","14/05/2021"
"Love, Death & Robots: Volume 2: Pela casa","14/05/2021"
"Love, Death & Robots: Volume 2: A grama alta","14/05/2021"
"Love, Death & Robots: Volume 2: Gelo","14/05/2021"
"Love, Death & Robots: Volume 2: Atendimento automático ao cliente","14/05/2021"
"Oxigênio","14/05/2021"
"O Legado de Júpiter: Volume 1: Como tudo termina","12/05/2021"
"O Legado de Júpiter: Volume 1: Omnes pro uno","10/05/2021"
"O Legado de Júpiter: Volume 1: Cubram o rosto dela","10/05/2021"
"Sombra e Ossos: Temporada 1: Todo mundo é o monstro de alguém","10/05/2021"
"Super Me","10/05/2021"
"O Legado de Júpiter: Volume 1: De que adianta?","09/05/2021"
"The Walking Dead: Temporada 1: Adeus, passado","09/05/2021"
"O Legado de Júpiter: Volume 1: Todos os demônios","07/05/2021"
"O Legado de Júpiter: Volume 1: Pintando as nuvens com a luz do sol","07/05/2021"
"O Legado de Júpiter: Volume 1: Papel e pedra","07/05/2021"
"O Legado de Júpiter: Volume 1: Pela luz do amanhecer","07/05/2021"
"De Volta para o Futuro III","07/05/2021"
"De Volta para o Futuro II","06/05/2021"
"Minha Obra Prima","06/05/2021"
"De Volta para o Futuro","06/05/2021"
"O Inocente: Minissérie: Episódio 8","05/05/2021"
"O Inocente: Minissérie: Episódio 7","05/05/2021"
"O Inocente: Minissérie: Episódio 6","05/05/2021"
"O Inocente: Minissérie: Episódio 5","05/05/2021"
"O Inocente: Minissérie: Episódio 4","05/05/2021"
"O Inocente: Minissérie: Episódio 3","05/05/2021"
"O Inocente: Minissérie: Episódio 2","05/05/2021"
"O Inocente: Minissérie: Episódio 1","05/05/2021"
"O mentiroso","04/05/2021"
"Yasuke: Temporada 1: Pecados mortais","30/04/2021"
"Yasuke: Temporada 1: À moda antiga","30/04/2021"
"Yasuke: Temporada 1: Sem mestre","30/04/2021"
"Sexify: Temporada 1: Episódio 8","29/04/2021"
"Sexify: Temporada 1: Episódio 7","29/04/2021"
"Sexify: Temporada 1: Episódio 6","29/04/2021"
"Sexify: Temporada 1: Episódio 5","29/04/2021"
"Sexify: Temporada 1: Episódio 4","29/04/2021"
"Sexify: Temporada 1: Episódio 3","29/04/2021"
"Sexify: Temporada 1: Episódio 2","29/04/2021"
"Sexify: Temporada 1: Episódio 1","29/04/2021"
"Atlanta: Robbin' Season: Você é minha família","29/04/2021"
"Atlanta: Robbin' Season: Fubu","29/04/2021"
"Atlanta: Robbin' Season: O verdadeiro problema","29/04/2021"
"Atlanta: Robbin' Season: Ser verdadeiro","29/04/2021"
"Atlanta: Robbin' Season: O cara do champanhe","29/04/2021"
"Atlanta: Robbin' Season: Teddy Perkins","29/04/2021"
"Atlanta: Robbin' Season: Barbearia","29/04/2021"
"Atlanta: Robbin' Season: Helen","29/04/2021"
"Atlanta: Robbin' Season: Alguém com grana","28/04/2021"
"Atlanta: Robbin' Season: Ondas milagrosas","28/04/2021"
"Atlanta: Robbin' Season: O cara do jacaré","28/04/2021"
"Atlanta: Temporada 1: A jaqueta perdida","28/04/2021"
"Atlanta: Temporada 1: Dia da abolição","28/04/2021"
"Atlanta: Temporada 1: Na balada","28/04/2021"
"Atlanta: Temporada 1: A explosão","27/04/2021"
"Atlanta: Temporada 1: Rede Afro-americana de Televisão","27/04/2021"
"Atlanta: Temporada 1: O valor delas","27/04/2021"
"Atlanta: Temporada 1: Ninguém segura o Justin","27/04/2021"
"Atlanta: Temporada 1: Efeito contrário","27/04/2021"
"Atlanta: Temporada 1: Durango Kid","27/04/2021"
"Atlanta: Temporada 1: Em cana","27/04/2021"
"Sombra e Ossos: Temporada 1: Uma explosão chamuscante de luz","24/04/2021"
"Alto Mar: Temporada 1: As alianças","23/04/2021"
"Alto Mar: Temporada 1: O albatroz","23/04/2021"
"Narcos: Temporada 1: A chegada","23/04/2021"
"Passageiro Acidental","23/04/2021"
"Zero: Temporada 1: Episódio 8","22/04/2021"
"Zero: Temporada 1: Episódio 7","22/04/2021"
"Zero: Temporada 1: Episódio 6","22/04/2021"
"Zero: Temporada 1: Episódio 5","22/04/2021"
"Zero: Temporada 1: Episódio 4","22/04/2021"
"Zero: Temporada 1: Episódio 3","22/04/2021"
"Zero: Temporada 1: Episódio 2","22/04/2021"
"Zero: Temporada 1: Episódio 1","22/04/2021"
"Hancock","19/04/2021"
"Labirinto do Medo: Temporada 1: Morte na água sombria","17/04/2021"
"Marvel - Demolidor: Temporada 1: O caminho dos bons","16/04/2021"
"Marvel - Demolidor: Temporada 1: Nelson X Murdock","16/04/2021"
"Marvel - Demolidor: Temporada 1: E por falar no d....","16/04/2021"
"Marvel - Demolidor: Temporada 1: Sombras com reflexo","16/04/2021"
"Marvel - Demolidor: Temporada 1: Stick","16/04/2021"
"Marvel - Demolidor: Temporada 1: Condenado","15/04/2021"
"Marvel - Demolidor: Temporada 1: Um mundo em chamas","15/04/2021"
"Marvel - Demolidor: Temporada 1: Está no sangue","15/04/2021"
"Marvel - Demolidor: Temporada 1: Camuflagem","15/04/2021"
"Marvel - Demolidor: Temporada 1: Fio da navalha","15/04/2021"
"Marvel - Demolidor: Temporada 1: No círculo","15/04/2021"
"Amor e Monstros","14/04/2021"
"Fuja","12/04/2021"
"Esquadrão Trovão","10/04/2021"
"Zumbilândia","06/04/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: O aroma do sangue encantado","05/04/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Muzan Kibutsuji","05/04/2021"
"Santa Clarita Diet: Temporada 1: Morcego ou macaco?","04/04/2021"
"Santa Clarita Diet: Temporada 1: O turista sexual","04/04/2021"
"Tumba Aberta","04/04/2021"
"A Força da Natureza","04/04/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: O espadachim que acompanhou um demônio","03/04/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Meu próprio aço","03/04/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Seleção final","03/04/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Sabito e Makomo","03/04/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Sakonji Urokodaki, o treinador","03/04/2021"
"(Des)encanto: Parte 3: O sequestro","03/04/2021"
"(Des)encanto: Parte 3: Terra das Máquinas","02/04/2021"
"Bad Trip","01/04/2021"
"Grite, você está sendo filmado: Temporada 2: Paredes que falam","01/04/2021"
"Eu Vi: América Latina: Temporada 1: A casa dos amaldiçoados","01/04/2021"
"Cabras da Peste","30/03/2021"
"Os Irregulares de Baker Street: Temporada 1: Capítulo um: Um probleminha em Londres","27/03/2021"
"Ultramarine Magmell: Temporada 1: Pescador","26/03/2021"
"Brooklyn Nine-Nine: Temporada 1: O abutre","22/03/2021"
"Brooklyn Nine-Nine: Temporada 1: Novo relacionamento","22/03/2021"
"Brooklyn Nine-Nine: Temporada 1: No limbo","22/03/2021"
"Um príncipe em Nova York","21/03/2021"
"Erased: Temporada 1: Sinal de nascença","20/03/2021"
"Erased: Temporada 1: Episódio 1","20/03/2021"
"Castlevania: Temporada 1: Garrafa de bruxa","20/03/2021"
"O Hospital","20/03/2021"
"Sweet Home: Temporada 1: Episódio 5","19/03/2021"
"Por Trás da Inocência","18/03/2021"
"B: The Beginning: Temporada 1: Episódio 1","18/03/2021"
"Sweet Home: Temporada 1: Episódio 4","17/03/2021"
"Sweet Home: Temporada 1: Episódio 3","17/03/2021"
"Sweet Home: Temporada 1: Episódio 10","17/03/2021"
"Master of None: Temporada 2: Buona Notte","17/03/2021"
"Master of None: Temporada 2: Amarsi Un Po","17/03/2021"
"Sweet Home: Temporada 1: Episódio 9","17/03/2021"
"Sweet Home: Temporada 1: Episódio 8","17/03/2021"
"Sweet Home: Temporada 1: Episódio 7","17/03/2021"
"Sweet Home: Temporada 1: Episódio 6","17/03/2021"
"Sweet Home: Temporada 1: Episódio 2","16/03/2021"
"Sweet Home: Temporada 1: Episódio 1","16/03/2021"
"Master of None: Temporada 2: Ação de Graças","15/03/2021"
"Master of None: Temporada 2: O jantar","15/03/2021"
"Master of None: Temporada 2: Primeiro encontro","15/03/2021"
"Master of None: Temporada 2: Religião","15/03/2021"
"Master of None: Temporada 2: Porta 3","15/03/2021"
"Master of None: Temporada 2: New York, I Love You","15/03/2021"
"Master of None: Temporada 2: Le Nozze","15/03/2021"
"Master of None: Temporada 2: O ladrão","15/03/2021"
"Master of None: Temporada 1: Final","15/03/2021"
"O Mistério de Block Island","14/03/2021"
"The One: Temporada 1: Episódio 5","13/03/2021"
"The One: Temporada 1: Episódio 4","13/03/2021"
"The One: Temporada 1: Episódio 3","13/03/2021"
"The One: Temporada 1: Episódio 2","13/03/2021"
"The One: Temporada 1: Episódio 1","13/03/2021"
"Círculo de Fogo: The Black: Temporada 1: Desabrigados","08/03/2021"
"Alice in Borderland: Temporada 1: Episódio 2","07/03/2021"
"Alice in Borderland: Temporada 1: Episódio 1","07/03/2021"
"Crashing: Temporada 1: Episódio 6","06/03/2021"
"Crashing: Temporada 1: Episódio 5","06/03/2021"
"Crashing: Temporada 1: Episódio 4","06/03/2021"
"Crashing: Temporada 1: Episódio 3","06/03/2021"
"Crashing: Temporada 1: Episódio 2","06/03/2021"
"Crashing: Temporada 1: Episódio 1","06/03/2021"
"Master of None: Temporada 1: Todas as manhãs do mundo","06/03/2021"
"Master of None: Temporada 1: Melhor idade","06/03/2021"
"Master of None: Temporada 1: Eles e elas","06/03/2021"
"Master of None: Temporada 1: Nashville","06/03/2021"
"Master of None: Temporada 1: O Outro","06/03/2021"
"Master of None: Temporada 1: Indianos na TV","06/03/2021"
"Master of None: Temporada 1: Programa quente","06/03/2021"
"Master of None: Temporada 1: Pais","05/03/2021"
"Master of None: Temporada 1: Plano B","05/03/2021"
"Tenku Shinpan - Sem Saída: Temporada 1: Nosso inimigo quer o caos","05/03/2021"
"Tenku Shinpan - Sem Saída: Temporada 1: Qual de nós terá uma vida legal?","05/03/2021"
"Tenku Shinpan - Sem Saída: Temporada 1: Desisti da minha humanidade e tudo bem","03/03/2021"
"Tenku Shinpan - Sem Saída: Temporada 1: Vou acabar com este reino","03/03/2021"
"Tenku Shinpan - Sem Saída: Temporada 1: Se eu me tornar uma deusa completa","03/03/2021"
"Tenku Shinpan - Sem Saída: Temporada 1: Uma arma poderosa","03/03/2021"
"Tenku Shinpan - Sem Saída: Temporada 1: Eu não desisto","03/03/2021"
"Tenku Shinpan - Sem Saída: Temporada 1: Sinto muito, Mayuko Nise","03/03/2021"
"Tenku Shinpan - Sem Saída: Temporada 1: Encontrei um novo objetivo","03/03/2021"
"Tenku Shinpan - Sem Saída: Temporada 1: Não entendo este mundo","03/03/2021"
"Vida Após a Morte: Temporada 1: Relatos dos ressuscitados","01/03/2021"
"Vida Após a Morte: Temporada 1: Reencarnação","01/03/2021"
"A Guerra dos Samurais: Temporada 1: Em busca de poder","27/02/2021"
"A Guerra dos Samurais: Temporada 1: A ascensão de Nobunaga","27/02/2021"
"Headspace - Meditação Guiada: Temporada 1: Como se conectar com o presente","26/02/2021"
"Headspace - Meditação Guiada: Temporada 1: Como começar a meditar","26/02/2021"
"Host","21/02/2021"
"Eu Me Importo","21/02/2021"
"Tribes of Europa: Temporada 1: Capítulo 1","19/02/2021"
"Expresso do Amanhã: Temporada 2: Uma grande odisseia","13/02/2021"
"Expresso do Amanhã: Temporada 2: A coisa está ficando quente","13/02/2021"
"Expresso do Amanhã: Temporada 2: A hora dos dois motores","13/02/2021"
"Expresso do Amanhã: Temporada 1: 994 vagões","13/02/2021"
"Expresso do Amanhã: Temporada 1: O trem exigia sangue","13/02/2021"
"Expresso do Amanhã: Temporada 1: Revoluções","13/02/2021"
"Expresso do Amanhã: Temporada 1: O universo é indiferente","12/02/2021"
"Expresso do Amanhã: Temporada 1: De onde menos se espera...","12/02/2021"
"Expresso do Amanhã: Temporada 1: A justiça não embarcou","12/02/2021"
"Expresso do Amanhã: Temporada 1: Sem seu criador","12/02/2021"
"Expresso do Amanhã: Temporada 1: Acesso é poder","12/02/2021"
"Expresso do Amanhã: Temporada 1: Preparem-se!","12/02/2021"
"Expresso do Amanhã: Temporada 1: Primeiro, o clima mudou","11/02/2021"
"Ponto Vermelho","11/02/2021"
"Todos os Meus Amigos Estão Mortos","08/02/2021"
"Nova Ordem Espacial","07/02/2021"
"Cidade Invisível: Temporada 1: Queria muito que você estivesse aqui","07/02/2021"
"(Des)encanto: Parte 3: Pegue a arma!","29/01/2021"
"Godzilla","29/01/2021"
"O Tigre Branco","26/01/2021"
"(Des)encanto: Parte 3: Você é a Bean","15/01/2021"
"(Des)encanto: Parte 3: Saudades subterrâneas","15/01/2021"
"Lupin: Parte 1: Capítulo 5","15/01/2021"
"Lupin: Parte 1: Capítulo 4","15/01/2021"
"Lupin: Parte 1: Capítulo 3","15/01/2021"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 1: Episódio 2","14/01/2021"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 1: Episódio 1","14/01/2021"
"Vida Após a Morte: Temporada 1: Vendo gente morta","14/01/2021"
"Vida Após a Morte: Temporada 1: Recados dos mortos","13/01/2021"
"Vida Após a Morte: Temporada 1: Médiuns – Parte 2","13/01/2021"
"Vida Após a Morte: Temporada 1: Médiuns – Parte 1","13/01/2021"
"Cobra Kai - The Afterparty","06/01/2021"
"Cobra Kai: Temporada 3: 19 de dezembro","04/01/2021"
"Cobra Kai: Temporada 3: Natal","04/01/2021"
"Cobra Kai: Temporada 3: O bom, o ruim e o fera","03/01/2021"
"Cobra Kai: Temporada 3: Obstáculos","03/01/2021"
"Cobra Kai: Temporada 3: Rei Cobra","03/01/2021"
"Cobra Kai: Temporada 3: Miyagi-Do","03/01/2021"
"Cobra Kai: Temporada 3: O caminho certo","03/01/2021"
"Cobra Kai: Temporada 3: Vai ter que pagar","03/01/2021"
"Cobra Kai: Temporada 3: Treinamento ou dom inato?","03/01/2021"
"Cobra Kai: Temporada 3: Consequências","03/01/2021"
"The Fundamentals of Caring","19/12/2020"
"Alice in Borderland: Temporada 1: Episódio 8","11/12/2020"
"Alice in Borderland: Temporada 1: Episódio 7","11/12/2020"
"Alice in Borderland: Temporada 1: Episódio 6","11/12/2020"
"Alice in Borderland: Temporada 1: Episódio 5","11/12/2020"
"Bastardos Inglórios","10/12/2020"
"Alice in Borderland: Temporada 1: Episódio 4","10/12/2020"
"Alice in Borderland: Temporada 1: Episódio 3","10/12/2020"
"O Substituto","08/12/2020"
"Forrest Gump","06/12/2020"
"A Vida em Outros Planetas: Temporada 1: Atlas","03/12/2020"
"Vozes","28/11/2020"
"O primeiro mentiroso","28/11/2020"
"A Ligação","27/11/2020"
"Great Pretender: Temporada 2: Caso 4.9 – Mágico do Extremo Oriente","25/11/2020"
"Great Pretender: Temporada 2: Caso 4.8 – Mágico do Extremo Oriente","25/11/2020"
"Great Pretender: Temporada 2: Caso 4.7 – Mágico do Extremo Oriente","25/11/2020"
"Great Pretender: Temporada 2: Caso 4.6 – Mágico do Extremo Oriente","25/11/2020"
"Great Pretender: Temporada 2: Caso 4.5 – Mágico do Extremo Oriente","25/11/2020"
"Great Pretender: Temporada 2: Caso 4.4 – Mágico do Extremo Oriente","25/11/2020"
"Great Pretender: Temporada 2: Caso 4.3 – Mágico do Extremo Oriente","25/11/2020"
"Great Pretender: Temporada 2: Caso 4.2 – Mágico do Extremo Oriente","25/11/2020"
"Great Pretender: Temporada 2: Caso 4.1 – Mágico do Extremo Oriente","25/11/2020"
"O Que Ficou Para Trás","24/11/2020"
"Demônio","24/11/2020"
"Inacreditável Esporte Clube: Temporada 1: O melhor penteado","24/11/2020"
"Inacreditável Esporte Clube: Temporada 1: A vez da pimenta","24/11/2020"
"Inacreditável Esporte Clube: Temporada 1: Roda de queijo","24/11/2020"
"Dirk Gently's Holistic Detective Agency: Temporada 1: Horizontes","23/11/2020"
"Tempestade: Planeta em Fúria","21/11/2020"
"O Gambito da Rainha: Minissérie: Fim de jogo","20/11/2020"
"O Gambito da Rainha: Minissérie: Partidas adiadas","20/11/2020"
"O Gambito da Rainha: Minissérie: Treinamento","20/11/2020"
"O Gambito da Rainha: Minissérie: Meio de jogo","20/11/2020"
"O Gambito da Rainha: Minissérie: Peões duplos","20/11/2020"
"A Casa de Cera","19/11/2020"
"O Gambito da Rainha: Minissérie: O torneio","19/11/2020"
"O Gambito da Rainha: Minissérie: Aberturas","19/11/2020"
"O Sono da Morte","19/11/2020"
"Paranormal: Temporada 1: O mito da náiade","10/11/2020"
"Paranormal: Temporada 1: O mito do guardião da caverna","10/11/2020"
"Paranormal: Temporada 1: O mito da maldição do Faraó","10/11/2020"
"Paranormal: Temporada 1: O mito da casa","10/11/2020"
"Circle","07/11/2020"
"Santa Clarita Diet: Temporada 1: Podemos matar pessoas","07/11/2020"
"Santa Clarita Diet: Temporada 1: Não podemos matar pessoas!","07/11/2020"
"La Révolution: Temporada 1: Capítulo 1 – O início","06/11/2020"
"Cães de Guerra","04/11/2020"
"O Ditador","04/11/2020"
"O Método Kominsky: Temporada 1: Capítulo 1: Um ator evita","04/11/2020"
"Um maluco no pedaço: Temporada 4: Batizado classe A","31/10/2020"
"Sem Conexão","30/10/2020"
"Kadaver","26/10/2020"
"Bárbaros: Temporada 1: Um novo reik","23/10/2020"
"Bárbaros: Temporada 1: Tempo de decisões","23/10/2020"
"Bárbaros: Temporada 1: Vingança","23/10/2020"
"Bárbaros: Temporada 1: O lobo e a águia","23/10/2020"
"Designated Survivor: Temporada 1: Lázaro","22/10/2020"
"Community: Temporada 3: Introdução à felicidade","19/10/2020"
"Black Mirror: Temporada 1: Toda a sua história","19/10/2020"
"Black Mirror: Temporada 2: Momento Waldo","19/10/2020"
"Black Mirror: Temporada 2: Urso branco","19/10/2020"
"Designated Survivor: Temporada 1: A nona vaga","19/10/2020"
"Designated Survivor: Temporada 1: Linhas partidárias","19/10/2020"
"Designated Survivor: Temporada 1: 100 dias","19/10/2020"
"Black Mirror: Temporada 4: Black Museum","18/10/2020"
"Black Mirror: Temporada 4: Metalhead","18/10/2020"
"Black Mirror: Temporada 4: Hang the DJ","18/10/2020"
"Designated Survivor: Temporada 1: Comandante em chefe","18/10/2020"
"Designated Survivor: Temporada 1: Plano de contenção","17/10/2020"
"Designated Survivor: Temporada 1: O fim de um começo","16/10/2020"
"Designated Survivor: Temporada 1: Guerreiros","16/10/2020"
"Designated Survivor: Temporada 1: O juramento","16/10/2020"
"Designated Survivor: Temporada 1: As plantas","15/10/2020"
"Designated Survivor: Temporada 1: Os resultados","15/10/2020"
"Designated Survivor: Temporada 1: O traidor","15/10/2020"
"Designated Survivor: Temporada 1: O interrogatório","15/10/2020"
"Designated Survivor: Temporada 1: A missão","15/10/2020"
"Ontem Havia Coisas Estranhas no Céu","15/10/2020"
"Designated Survivor: Temporada 1: O inimigo","14/10/2020"
"Designated Survivor: Temporada 1: A confissão","14/10/2020"
"Designated Survivor: Temporada 1: O primeiro dia","14/10/2020"
"Designated Survivor: Temporada 1: Piloto","14/10/2020"
"ONE PIECE: East Blue: Episódio 1","12/10/2020"
"Community: Temporada 3: A primeira dinastia Chang","11/10/2020"
"Community: Temporada 3: Planejamento imobiliário digital","10/10/2020"
"Community: Temporada 3: Currículo indisponível","10/10/2020"
"A Maldição da Mansão Bly: Perdas e culpa","09/10/2020"
"A Maldição da Mansão Bly: Ecos do passado - Parte 1","09/10/2020"
"A Maldição da Mansão Bly: As crianças","09/10/2020"
"A Maldição da Mansão Bly: A mansão","09/10/2020"
"O Halloween do Hubie","08/10/2020"
"Cidade dos Mortos: Temporada 1: Episódio 8","08/10/2020"
"Cidade dos Mortos: Temporada 1: Episódio 7","08/10/2020"
"Cidade dos Mortos: Temporada 1: Episódio 6","08/10/2020"
"Cidade dos Mortos: Temporada 1: Episódio 5","08/10/2020"
"Cidade dos Mortos: Temporada 1: Episódio 4","08/10/2020"
"Cidade dos Mortos: Temporada 1: Episódio 3","08/10/2020"
"Cidade dos Mortos: Temporada 1: Episódio 2","07/10/2020"
"Cidade dos Mortos: Temporada 1: Episódio 1","07/10/2020"
"Erased: Temporada 1: De volta ao passado, de olho no futuro","05/10/2020"
"Community: Temporada 3: Lista de cursos não disponíveis","02/10/2020"
"Community: Temporada 3: Urologia básica dos lupinos","02/10/2020"
"Community: Temporada 3: Análise de sistemas virtuais","01/10/2020"
"O Jogo do Desafio: Versão Estendida do Diretor","30/09/2020"
"Community: Temporada 3: As origens da mitologia do vampiro","30/09/2020"
"Community: Temporada 3: Travesseiros e cobertores","29/09/2020"
"Community: Temporada 3: Exploração digital de design de interiores","29/09/2020"
"Community: Temporada 3: Imitadores contemporâneos","29/09/2020"
"Community: Temporada 3: Casamento urbano e artes do sanduíche","28/09/2020"
"Community: Temporada 3: Feriado regional de música","28/09/2020"
"Community: Temporada 3: Pebolim e vigilância noturna","27/09/2020"
"Community: Temporada 3: Cinema documental: revisitado","27/09/2020"
"Galinha Pintadinha: 1ª temporada: Volume 1","27/09/2020"
"Galinha Pintadinha: 2ª temporada: Volume 2","26/09/2020"
"Galinha Pintadinha: 3ª temporada: Volume 3","26/09/2020"
"Community: Temporada 3: Estudos em movimento moderno","26/09/2020"
"Community: Temporada 3: Gay avançado","26/09/2020"
"Enola Holmes","26/09/2020"
"Community: Temporada 3: Filme de terror em sete passos assustadores","25/09/2020"
"Community: Temporada 3: Teoria do caos corretivo","25/09/2020"
"Community: Temporada 3: Ecologia competitiva","25/09/2020"
"Community: Temporada 3: Geografia do conflito global","25/09/2020"
"Community: Temporada 3: Biologia 1","25/09/2020"
"Community: Temporada 2: For a Few Paintballs More","25/09/2020"
"Community: Temporada 2: “A Fist Full of Paintballs","25/09/2020"
"Community: Temporada 2: Applied Anthropology and Culinary Arts","25/09/2020"
"Community: Temporada 2: Paradigms of Human Memory","25/09/2020"
"Community: Temporada 2: Competitive Wine Tasting","25/09/2020"
"Enfermeira Exorcista: Temporada 1: Episódio 1","25/09/2020"
"Community: Temporada 2: Critical Film Studies","25/09/2020"
"Community: Temporada 2: Custody Law and Europa Oriental Diplomacy","24/09/2020"
"Community: Temporada 2: Intro to Political Science","23/09/2020"
"Community: Temporada 2: Intermediate Documentary Filmmaking","23/09/2020"
"Community: Temporada 2: Early 21st Century Romanticism","23/09/2020"
"Community: Temporada 2: Celebrity Pharmacology","22/09/2020"
"Community: Temporada 2: Asian Population Studies","22/09/2020"
"Community: Temporada 2: Abed's Uncontrollable Christmas","22/09/2020"
"Community: Temporada 2: “Mixology Certification”","22/09/2020"
"Community: Temporada 2: Conspiracy Theories and Interior Design","21/09/2020"
"Community: Temporada 2: “Cooperative Calligraphy”","21/09/2020"
"Community: Temporada 2: “Aerodynamics of Gender”","21/09/2020"
